u,v,length,name
7773979572,7773991585,198.07834605982535,Calle Miravalles
7773979572,7773984598,220.19283403646023,Calle Proyecto Miravalles
7773984588,7773984598,172.61569741474293,Calle Proyecto Miravalles
7773984598,7773984588,172.61569741474293,Calle Proyecto Miravalles
7773984598,5790943200,299.2428939631293,Calle Proyecto Miravalles
7773984598,7773979572,220.19283403646023,Calle Proyecto Miravalles
7773991585,12168489953,142.96738346006214,Calle La Marta
7773991585,5790358020,169.92391109573992,Calle La Marta
7773991585,7773979572,198.0783460598254,Calle Miravalles
7785752805,5010421364,1408.5920998329175,Clle Cruz Bata
7821323439,5010272400,2650.7895801423947,Calle San Antonio
8319010440,5790358029,52.40980459761873,Calle Plaza Vieja
8319010440,8319010441,84.14059470459635,Calle Plaza Vieja
8319010440,5790358020,153.03134053279354,Calle Plaza Vieja
8319010441,5790943200,54.14697808907746,Calle La Marta
8319010441,8319010440,84.14059470459635,Calle Plaza Vieja
8319010441,3206673577,125.14734004214415,Calle La Marta
8715789742,5010422349,13086.214967652308,Calle Carolina
8715789742,5010475456,1103.964788929611,Calle Carolina
8715789742,8715789748,235.25874553561346,Sin nombre
8715789748,8715789742,235.25874553561343,Sin nombre
8857776698,3206673625,47.2618036545787,Avenida 2
8857776698,3206673619,30.188947647980406,Avenida 2
8857776698,8857776699,60.85705540123907,Calle 5A
8857776699,8857776698,60.85705540123907,Calle 5A
8857823810,3206673625,51.91289732779839,Calle 7
8858701705,7731926287,1102.3030451539146,Vía 414
8858701705,5979518599,394.74884071426743,Vía 414
8858701705,8858701708,168.3311460644224,Sin nombre
8858721008,8858721022,27.632397677873115,Calle Santa Cristina
8858721008,7725569620,2851.1413225468455,Calle Santa Cristina
8858721008,8858721021,181.81662614281362,Sin nombre
8858721022,12163576458,2903.223471713023,Calle Santa Cristina
8858721022,8858721008,27.632397677873115,Calle Santa Cristina
8858721022,8858721045,470.1429449958029,Sin nombre
8861586336,5010344445,3823.818414128821,Calle Los Cipreses
