osmid,x,y,name
497089506,-83.677796,9.8977317,Ubicacion 497089506
497089571,-83.5695558,9.9611712,Ubicacion 497089571
497089617,-83.6220847,9.9018382,Ubicacion 497089617
510139974,-83.6824937,9.9041867,Ubicacion 510139974
510139985,-83.6823638,9.9039873,Ubicacion 510139985
510140037,-83.682593,9.9093297,Ubicacion 510140037
510140041,-83.6819083,9.9128001,Ubicacion 510140041
510159440,-83.6142648,9.8513978,Ubicacion 510159440
510159442,-83.6126787,9.8505769,Ubicacion 510159442
510159443,-83.6124537,9.8522147,Ubicacion 510159443
510159445,-83.6141553,9.8522216,Ubicacion 510159445
510159446,-83.6125513,9.8513961,Ubicacion 510159446
510165478,-83.5270579,9.8869113,Ubicacion 510165478
540898084,-83.6901394,9.9125615,Ubicacion 540898084
540898087,-83.6910969,9.9121274,Ubicacion 540898087
540898089,-83.6914054,9.9129732,Ubicacion 540898089
540898090,-83.691278,9.9126422,Ubicacion 540898090
540898091,-83.6923925,9.9121268,Ubicacion 540898091
540898099,-83.6895811,9.9076932,Ubicacion 540898099
540898100,-83.6914988,9.9119365,Ubicacion 540898100
540898101,-83.6910387,9.9108468,Ubicacion 540898101
540898105,-83.6893905,9.9088683,Ubicacion 540898105
540898106,-83.6887524,9.9082052,Ubicacion 540898106
540898107,-83.6915627,9.910625,Ubicacion 540898107
540898110,-83.6897996,9.908433,Ubicacion 540898110
540898111,-83.6904364,9.9099339,Ubicacion 540898111
540898112,-83.690844,9.909529,Ubicacion 540898112
540898114,-83.6912552,9.9091469,Ubicacion 540898114
540898115,-83.6890241,9.9092709,Ubicacion 540898115
540898118,-83.6880621,9.9086194,Ubicacion 540898118
540898119,-83.6870601,9.9069887,Ubicacion 540898119
540898121,-83.6882056,9.9075023,Ubicacion 540898121
540898122,-83.6876736,9.906613,Ubicacion 540898122
540898123,-83.687276,9.9068573,Ubicacion 540898123
540898124,-83.6866176,9.9057673,Ubicacion 540898124
540898127,-83.6861728,9.9064321,Ubicacion 540898127
540898130,-83.6862503,9.9053778,Ubicacion 540898130
540898143,-83.6876055,9.9078624,Ubicacion 540898143
560111982,-83.6915892,9.9141018,Ubicacion 560111982
560112014,-83.6989107,9.9131606,Ubicacion 560112014
560112021,-83.7026936,9.912638,Ubicacion 560112021
560112022,-83.6916581,9.9157351,Ubicacion 560112022
560112025,-83.6886511,9.9144339,Ubicacion 560112025
560112027,-83.6869079,9.9138811,Ubicacion 560112027
560112038,-83.6768076,9.9176608,Ubicacion 560112038
560112059,-83.6661558,9.9130963,Ubicacion 560112059
560112063,-83.6655824,9.9079148,Ubicacion 560112063
560112064,-83.6633237,9.9078982,Ubicacion 560112064
560112068,-83.6665666,9.9089769,Ubicacion 560112068
560112069,-83.6660623,9.9083192,Ubicacion 560112069
560112070,-83.6665779,9.9084862,Ubicacion 560112070
560112071,-83.6637434,9.9079009,Ubicacion 560112071
560112072,-83.6637484,9.9088494,Ubicacion 560112072
560112073,-83.6641965,9.9078976,Ubicacion 560112073
560112074,-83.6642014,9.9087032,Ubicacion 560112074
560112075,-83.6646602,9.9079029,Ubicacion 560112075
560112076,-83.6646636,9.9086729,Ubicacion 560112076
560112078,-83.6651076,9.9079019,Ubicacion 560112078
560112081,-83.6653531,9.9120922,Ubicacion 560112081
560112082,-83.666092,9.9120525,Ubicacion 560112082
560112085,-83.6645936,9.9096068,Ubicacion 560112085
560112086,-83.6646552,9.9108755,Ubicacion 560112086
560112087,-83.6652952,9.9108392,Ubicacion 560112087
560112088,-83.6664862,9.910775,Ubicacion 560112088
560112089,-83.6660159,9.9107996,Ubicacion 560112089
560112090,-83.6659315,9.9095246,Ubicacion 560112090
560112091,-83.6652338,9.9095703,Ubicacion 560112091
560112092,-83.6811358,9.9052498,Ubicacion 560112092
560112098,-83.6806396,9.9066879,Ubicacion 560112098
560112102,-83.6767433,9.9160118,Ubicacion 560112102
560112107,-83.67228,9.9162631,Ubicacion 560112107
560112108,-83.6831676,9.9150411,Ubicacion 560112108
560112110,-83.6868196,9.9113113,Ubicacion 560112110
560112111,-83.6882929,9.9133749,Ubicacion 560112111
560112117,-83.6872614,9.9110091,Ubicacion 560112117
560112119,-83.6861477,9.9115946,Ubicacion 560112119
560112120,-83.685785,9.9112103,Ubicacion 560112120
560112121,-83.6853905,9.9138565,Ubicacion 560112121
560112127,-83.6828488,9.9086949,Ubicacion 560112127
560112128,-83.6829959,9.9082396,Ubicacion 560112128
560112132,-83.6817563,9.9071236,Ubicacion 560112132
560112134,-83.6844547,9.9091597,Ubicacion 560112134
560112135,-83.6845725,9.908821,Ubicacion 560112135
560112137,-83.6838829,9.9085779,Ubicacion 560112137
560112140,-83.6819562,9.9118403,Ubicacion 560112140
560112141,-83.6814021,9.9119613,Ubicacion 560112141
560112142,-83.6805392,9.9104215,Ubicacion 560112142
560112146,-83.6823256,9.9100149,Ubicacion 560112146
560112147,-83.6802295,9.9095538,Ubicacion 560112147
560112148,-83.6797783,9.9087503,Ubicacion 560112148
560112149,-83.680369,9.9085972,Ubicacion 560112149
560112150,-83.6801049,9.9093443,Ubicacion 560112150
560112154,-83.6786515,9.907556,Ubicacion 560112154
560112156,-83.6764913,9.9081015,Ubicacion 560112156
560112160,-83.6704188,9.9061371,Ubicacion 560112160
560112169,-83.6754854,9.9087188,Ubicacion 560112169
560112170,-83.6778714,9.9070876,Ubicacion 560112170
560112171,-83.6772211,9.9072628,Ubicacion 560112171
560112172,-83.6766682,9.9074546,Ubicacion 560112172
560112173,-83.6737414,9.9092285,Ubicacion 560112173
560112176,-83.6750396,9.9060026,Ubicacion 560112176
560112178,-83.6760334,9.9069599,Ubicacion 560112178
560112181,-83.6709728,9.9066638,Ubicacion 560112181
560112182,-83.6759375,9.9078884,Ubicacion 560112182
560112184,-83.6733934,9.9089101,Ubicacion 560112184
560112185,-83.6746077,9.9081484,Ubicacion 560112185
560112188,-83.6743872,9.9062508,Ubicacion 560112188
560112189,-83.6741951,9.9083953,Ubicacion 560112189
560112192,-83.6739802,9.9060525,Ubicacion 560112192
560112193,-83.6730643,9.908576,Ubicacion 560112193
560112194,-83.6739721,9.9080409,Ubicacion 560112194
560112195,-83.6727065,9.9082582,Ubicacion 560112195
560112196,-83.6737201,9.9076504,Ubicacion 560112196
560112197,-83.6723264,9.9079608,Ubicacion 560112197
560112198,-83.6729802,9.9075507,Ubicacion 560112198
560112199,-83.6720253,9.9076794,Ubicacion 560112199
560112200,-83.6727178,9.9072605,Ubicacion 560112200
560112201,-83.6717049,9.907372,Ubicacion 560112201
560112204,-83.6723745,9.9070735,Ubicacion 560112204
560112205,-83.6713669,9.9070404,Ubicacion 560112205
560112208,-83.6737984,9.906484,Ubicacion 560112208
560112209,-83.6766377,9.9057061,Ubicacion 560112209
560112210,-83.6764373,9.9061159,Ubicacion 560112210
560112211,-83.6762313,9.9065438,Ubicacion 560112211
560112212,-83.6748156,9.906422,Ubicacion 560112212
560112213,-83.674975,9.9079293,Ubicacion 560112213
560112214,-83.6752215,9.9083263,Ubicacion 560112214
560112215,-83.6762448,9.9077074,Ubicacion 560112215
560112216,-83.6761773,9.9077452,Ubicacion 560112216
560112217,-83.6764246,9.9081446,Ubicacion 560112217
560112218,-83.6802261,9.9075488,Ubicacion 560112218
