name,lat,lon,nearest_node
Kikiri Mas,9.8658294,-83.9217482,281363035
Frituras la Teja,9.9043057,-83.6837151,471047486
Bar la Rioja,9.9042832,-83.6836968,471047486
Soda Torres,9.8661649,-83.9243407,452651223
Farmacia,9.8666441,-83.9276789,472374506
Clínica Dental,9.903732,-83.6854306,332473457
Laboratorio Clínico Biotech,9.9037716,-83.6854492,332473457
Subway,9.9090566,-84.0031272,276540041
BAC Credomatic,9.9090387,-84.0032451,276540041
Restaurante Yud Fad,9.8644318,-83.9175338,281363017
"Botica Los Angeles, S.A.",9.8648501,-83.9158417,365287374
Malue Calidad y Atención,9.8653069,-83.9191866,281467482
Botica García,9.86559,-83.9211024,281363026
Cafetería & Batidos,9.869573,-83.9050017,596515603
Soda Feng Wei,9.8684264,-83.9051446,596515665
El Nido,9.8645613,-83.9142784,588818012
Pollos Stop #2,9.8641032,-83.9219542,1600306274
Laboratorios Clinicos Cartago,9.8641876,-83.9223263,1600306274
Pollo Granjero,9.8572769,-83.932876,472498740
Juancho's Pizza,9.8445057,-83.9351796,660402617
El Rincón de Faru,9.8444936,-83.935128,660402617
Dunkin',9.9073879,-83.9832841,418102227
Aroma y Sabor,9.9227858,-83.998713,583792149
Farmacia Pacayas,9.8619378,-83.9214005,450502900
La Flor Del Café,9.866635,-83.921366,11330256706
Más que pollo,9.8596537,-83.9311059,479421268
Farmacia,9.8439507,-83.9398929,1693992106
Clínica Veterinaria Salud Animal,9.8552412,-83.9248264,3071236080
Farmacia Sucre,9.8649723,-83.9211533,1600306540
Clínica Full Salud Cartago,9.8681885,-83.9207318,588818195
Promo Navideña,9.8667042,-83.9216153,11330256706
Más Que Pollo,9.8778766,-83.9343971,417243190
Pizza Daniela,9.8779305,-83.9344137,417243190
Farmacia San Nicolás,9.8779699,-83.9344204,417243190
Cartago-Cervantes,9.8626474,-83.9196004,4094598639
Parada Cervantes - Cartago,9.8866581,-83.8076104,479468402
Iglesia Jesucristo de los Santos de los Ultimos Dias (Cartago-Cervantes),9.8418202,-83.8670169,4094465487
Hospital Universal,9.8598916,-83.9218989,472395279
Estación de buses hacia Cartago Centro,9.8550937,-83.9105741,1362316587
Ebais San Diego,9.8990982,-84.0018462,2362551562
Soda y Mirador Paso del Quetzal,9.9445889,-83.886093,1182503201
Iglesia de Grano de Oro,9.8177112,-83.4549551,5010422537
Soda Don German,9.8739395,-83.9116562,3071411401
Bar La Cruz,9.8690966,-83.9105274,588817983
Bar La Bicicleta,9.8659278,-83.9162244,10972474848
Roberto Granados,9.8688418,-83.9037787,596515613
Pacayas,9.8663435,-83.9183604,3037253927
Soda San José Cabecar,9.7953677,-83.854379,814372701
Il Giardino,9.7949482,-83.8558378,832384346
Helados Granados,9.8675077,-83.9060573,596515654
Iglesia de Santo Cristo,9.8428278,-83.9440565,655320031
Ebais Santiago del Monte,9.8924989,-83.9958791,417234584
Iglesia el Tabernáculo,9.8962367,-83.9978755,417234487
Bar Las Veraneras,9.8320916,-83.7052136,620163948
Bar Portuguez,9.8128289,-83.7024606,510159373
Escuela Las Vueltas,9.8354422,-83.7101802,620163937
Pescafrito,9.8522643,-83.7190234,2164687633
Delegación Policial Tucurrique,9.8532937,-83.7197892,2164687631
Concejo Municipal Distrito Tucurrique,9.8541027,-83.7242247,620089526
Tropical,9.8539745,-83.72332,2164687627
Iglesia Las Vueltas,9.8358267,-83.7122483,7388858754
JSM Turrialba #2,9.8820217,-83.6447494,620163983
Pollos Crispy,9.853008,-83.7245686,620089527
Consultorio Odontológico Dr. Javier Guzmán O,9.8654023,-83.9164836,365287374
La Raya,9.8530905,-83.9414814,573449706
Las Brisas,9.8491318,-83.940681,3977137894
Cuatro Vientos,9.849301,-83.94085,3977137894
Clínica Veterinaria Dra. Rojas,9.8514401,-83.9406265,573449730
Terranova Dental Center,9.8437066,-83.9399978,472498718
La Esquina Sport Bar,9.8437004,-83.9399345,472498718
Delegación Policial Corralillo,9.7917341,-84.038753,10312066744
Banco Cathay,9.8838349,-83.9353299,288586847
Aromas D'Cafe,9.9016919,-83.6774309,6783591804
Division Polimeros S.A.,9.8484303,-83.948242,660402580
Granja CruJim,9.8917561,-83.855637,650981182
Musgo Verde,9.8238041,-84.0306237,622124804
Hogar PROPAM,9.9371014,-83.9903374,663378911
Delegación Policial San Ramón,9.9388959,-83.9865158,11021484019
Bar Bella Vista,9.9404311,-83.9823186,278194332
BN servicios La Fortuna,9.8696269,-83.9066065,596515669
Mirador  Sitios Angostura,9.8887021,-83.6303772,12588408609
Rocha Internet,9.837968,-83.8814087,6363375613
Soda El Yodito,9.9048685,-83.9882411,11114763471
Restaurante Nuevo Hong Kong,9.9057867,-83.9880163,278168369
Iglesia de Aquiares,9.9404018,-83.7192628,3930875445
Farmacia Pacayas,9.8565374,-83.9242939,6366363207
Restaurante Yokohama,9.8564854,-83.9242167,496291658
Ebais Santa Rosa,9.9290398,-83.701198,288654834
Soda Emanuel,9.8509317,-83.9273539,11105815145
Bar Rio Claro,9.9364325,-83.6989757,1821586124
Farmacia La Arboleda,9.8598781,-83.9218674,472395279
CEN-CINAI,9.9258359,-83.697533,8857596002
La Arboleda,9.8388129,-83.9458099,2352548771
Iglesia de San Pablo,9.9357932,-83.8349857,8881190243
Bar La Carreta,9.9355868,-83.8350911,8881190243
Igleia de San Martín,9.9107115,-83.8374338,3853401042
Soda Corazón de Jesús,9.846677,-83.9414049,582995491
Soda La Casita #2,9.846656,-83.9371873,491588599
Limpieza de Tanques Sépticos Irazú,9.847411,-83.9344126,472374670
Mr Tes Hamburguesas Gigantes,9.8619977,-83.919883,450502910
AKI Café,9.8619562,-83.9196122,450502910
Taco Tico,9.907231,-83.9861795,416710543
Divino Pecado,9.910498,-84.0121704,276540033
Iglesia de Dulce Nombre,9.8166651,-83.5654849,5010299239
BNCR,9.9089352,-84.0052996,276540040
Iglesia Corazón de Jesús,9.8672619,-83.8937198,3223896793
Iglesia San Ignacio de Loyola,9.8798527,-83.928126,617847811
Escuela Jamo,9.6306835,-83.4791586,8866831022
Escuela Tulësi,9.7050215,-83.4314502,5010504012
Escuela Shukëbachari,9.7445097,-83.3979172,5010504012
Con Esmero Café,9.838398,-83.9466003,10363088259
Tiffany's K-Fe,9.8658236,-83.9196339,281467482
Marisquería y Taquería Fofo,9.9063506,-83.9881691,278168369
Laboratorio Clínico Biomed del Este,9.9083773,-83.9875397,278158523
Bar y Chicharronera Moya's,9.8539979,-83.7240099,2164687627
Centro Diurno,9.8535054,-83.7225696,2164687626
Salón Comunal,9.835611,-83.7108246,5494417279
Centro de Acopio Tucurrique,9.8512503,-83.7204675,2164687636
Soda Corrales,9.8546992,-83.7230074,2164687619
Pizzería Tucurrique,9.853953,-83.7250661,620089526
La Colmena,9.859746,-83.7396797,2679480097
Bar y Restaurante El Rincón,9.838412,-83.8530988,2036650394
Brasas,9.8396659,-83.8693745,288590561
Novo Estetica Dental,9.8358841,-83.8678773,498542876
Farmacia Galeno,9.8542685,-83.7255635,620089522
Especialidades Médicas Tucurrique,9.8541942,-83.7250691,620089526
Iglesia de San Martín,9.7973257,-84.0210241,5521406864
Iglesia de Caragral,9.7817555,-84.0234767,3226540611
Café y restaurante Sunt,9.9017711,-83.7114639,321772262
Respira & Kokó,9.906493,-83.6845436,1431339430
Farmacia La Unión,9.9266289,-84.0014156,276247394
Salón Comunal,9.9563397,-83.5969887,1816992590
Bar La Roca,9.8202707,-83.6951359,11011810283
GERENI,9.8294009,-83.6777961,5496925477
Café Magnolia,9.8569062,-83.9277717,479421283
Restaurante Suizo,9.8646533,-83.9126101,1600704097
More Than Words,9.9065579,-83.6844297,1431339460
Soda Los Tucanes,9.965974,-83.7307705,600520292
Bus to Cartago,9.9282081,-83.8835446,994787608
Terminal de buses Cartago - San José,9.8671716,-83.9224038,1308628294
Bus al Sanatorio Durán,9.8666335,-83.9190577,588818155
Bus to Sanatorio,9.9282038,-83.8833687,994787608
Delegación Policial La Montada,9.8742472,-83.9316072,603899673
Royal,9.8770938,-83.9196847,602777580
POPS,9.8561978,-83.9241125,496291663
Katherine,9.8268514,-83.9084169,1283533660
La Española,9.8278094,-83.907986,1283533651
Delegación Policial de San Francisco Norte,9.8516083,-83.9225391,11105815134
Gesund,9.8655048,-83.9217556,281363035
Comedor CENCINAI,9.7884072,-84.0695577,12205577735
Salón Comunal,9.7759812,-84.0725097,7533661299
Iglesia de Río Conejo,9.7784976,-84.072778,6058497325
Servicentro Río Conejo,9.7785386,-84.0747118,3226511621
Pizzabor,9.7900635,-84.0676987,2805612350
Salon Las Brisas,9.7917773,-84.0665448,3685098280
Salon Comunal,9.7910612,-84.0673635,3855774280
Clínica San Juan Sur,9.7914109,-84.067841,3855774276
San Juan Bautista,9.7887577,-84.0682834,12205577735
La Flor del Cafe,9.7783449,-84.0774995,3226511606
Iglesia de Loma Larga,9.7693022,-84.0678838,3226527102
San José - Loma Larga ruta 126,9.7688105,-84.0690371,3226527102
Ebais San Juan Norte,9.798132,-84.0698665,7715051030
Salon Comunal,9.7986947,-84.070297,11021765568
Iglesia Cristiana,9.9418634,-83.6604919,8855429803
Iglesia de Alto Varal,9.9449721,-83.66353,1816997388
Escuela de Alto de Varas,9.9448049,-83.6633781,1816997388
Iglesia de San Martín,9.9327397,-83.6529743,1816997354
Escuela de San Martín,9.9326386,-83.6522507,1816997354
Kinder y escuela Burbujitas,9.9086437,-83.6889322,540898106
Iglesia de Florencia,9.8737681,-83.6741971,12629739381
Iglesia de Colorado,9.9111132,-83.7081457,7221304608
Delegación Policial Cervantes,9.8873497,-83.8093466,3331305325
Café Rétro,9.8643463,-83.9171478,281363017
Restaurante El Clon,9.8956856,-83.7405434,2679746549
El Rescate,9.8362158,-83.8533834,2352517236
